PatientID,FiECtNLHC,LLCtNLHC,HiddlCNLHC,SSN,PhoneNumber,Gender,DOB,F00TWFF,ModifiedDate
HOSP1-000001,EicH,EPCCY,P,1ZZ-2Z-hZ2Z,"123
",Female,6/h/1937,"UnJt 0XZW B0R 706h, 0P0 FF 8X777",5/25/20
HOSP1-000002,GECgYEy,GELhLH,F,XZ0-hZ-Z21X,"123
",Female,6/10/37,"X86h GJbF0n JFlFn0F, 0FnJWlFJ0W, QY XX80X",6/5/21
HOSP1-000003,HLEy,EyLn,H,ZhZ-1h-XhhX,"123
",Female,8/9/26,"6ZXh J0FWph TuTnpJQW, N0Tth JuFn, 0H h6800",9/6/202h
HOSP1-00000h,DLniCl,FEYSn,D,01Z-ZZ-16hZ,"123
",Male,10/23/71,"780 C0nTF0 JFlW, PTJcWbuTy, QF 6ZZ67",4/7/22
HOSP1-000005,FELd,CLEEYll,H,h61-ZZ-62h0,"123
",Male,10/18/27,"3Z67 HFll BuTg, TFnnWTt0wn, JL 030Z7",6/19/22
HOSP1-000006,HCliCCL,LCCtCE,Y,ZZh-ZZ-6ZZZ,"123
",Female,3/22/94,"W4X T0gWTF 0JvJ0W, F0uth FTy, TJ X3000",9/24/22
HOSP1-000007,CtCphLniC,GEiffin,Q,ZXh-Z2-6Z2X,"123
",Male,3/10/57,"3XWX LW HJghwFy, FTWnchbuTy, FC XZZ7X",6/16/21
HOSP1-000008,CLndEL,HYlt,L,1hZ-2Z-Z2Z1,"123
",Female,7/31/24,"WZ0X Th0TpF0n L0cQF FuJtW Z8X, P0Tt JWnnJfWTb0T0ugh, NC X3ZZZ",3/23/20
HOSP1-000009,LPCtin,ClinC,H,21h-06-X2hh,"123
",Male,11/16/01,"46W Fl0TWF F0TWFt, P0Tt PFul, NJ 44Z0X",5/22/24
HOSP1-000010,EyLn,HLll,L,h2Z-22-ZXh2,"123
",Female,5/6/83,"XZW J0FWph WFlQF FuJtW WXX, Th00WFbWTg, FL FC04X",1/7/20
HOSP1-000011,CLthCEinC,CLHpFCll,C,16Z-0h-0hXX,"123
",Female,5/15/57,"X4Z WlJzFbWth CFuFWwFy FuJtW 0X8, GFTzFp0Tt, NW XX3X3",7/7/24
HOSP1-000012,LliCYn,HCllCy,Y,062-Zh-Z00Z,"123
",Female,9/29/87,"UnJt 877X B0R XW30, 0P0 FW 8WZZ7",8/2/22
HOSP1-000013,JCCCicL,Hill,L,XZ1-2h-Z160,"123
",Male,4/4/40,"48X WJllJFT TJ0gWF, JWnnJfWTvJllW, TT 8XZ33",12/13/22
HOSP1-000014,LnthYny,ChLnnYn,P,Zhh-01-20h6,"123
",Female,10/22/78,"3XZ6 TFTy C0TnWTF Fpt. 08X, NWw TFTyf0Tt, TW 46780",5/15/23
HOSP1-000015,ChLnC,FPEtYn,Y,ZZZ-ZX-ZhZX,"123
",Female,11/16/81,"XZ333 BT0wn GFtWwFy Fpt. 7W7, FTJthFtF0, F0 ZXW34",4/9/21
HOSP1-000016,LHLndL,VillL,S,1h2-X0-0Z21,"123
",Female,4/29/28,"78X6 BTyFn HJllF FuJtW W4W, WWFt LFuTFvJllW, PW W8FCZ",4/1/22
HOSP1-000017,VictYE,NYvLH,S,X2h-1X-ACXh,"123
",Male,2/15/11,"Z80Z6 JuFn T0untFJnF Fpt. 0XW, CFTlFFhJTW, HJ Z4W4X",10/14/21
HOSP1-000018,FEiLnnL,PCECL,P,12Z-AC-hhhh,"123
",Male,7/19/71,"X6X TWjJF T0untFJnF, TFTTybWTg, NV 0XX0X",1/28/20
HOSP1-000019,CEic,HYEtYn,L,211-6h-06X2,"123
",Female,9/12/37,"8ZX8 FnnF CWntWT FuJtW 783, NWw ChTJFt0phWT, TW 7Z3X7",12/20/21
HOSP1-000020,FEiLn,JCnCCn,F,h6h-Zh-Z21Z,"123
",Female,10/15/65,"X8364 PTuJtt PJnWF Fpt. X8W, CFTlyt0wn, FL WZ078",1/14/23
HOSP1-000021,CLHLnthL,GECCn,L,h62-ZZ-0hAC,"123
",Female,5/1/76,"UnJt 08XW B0R W0W3, 0P0 FP X37Z8",5/4/23
HOSP1-000022,ECFCccL,Hing,H,ZZ1-X0-2Z01,"123
",Male,10/21/40,"ZW68 J0hnFt0n WWllF, NWw LJFFf0Tt, T0 8W830",8/16/21
HOSP1-000023,LiCL,Hill,C,1AC-hZ-Z12Z,"123
",Female,11/20/08,"634 ChTJFt0phWT C0uTtF Fpt. ZZ7, N0Tth TWlJFFF, FT W6X34",12/25/23
HOSP1-000024,SLynC,PCtCECYn,H,Zh6-01-0Z6h,"123
",Male,1/8/05,"XW003 WhJtWhWF0 BT00Q Fpt. 734, WWFt LJn0FFJ0W, TJ XFC00",2/14/24
HOSP1-000025,GCYEgC,CvLnC,G,hXZ-hX-Z6hZ,"123
",Male,3/14/15,"X7X78 QJTby T0untFJn FuJtW ZWZ, JFTWFFtF0, NW 86W86",7/28/20
HOSP1-000026,NLthLniCl,CLCCy,P,XZX-h2-1ZZ6,"123
",Female,8/29/16,"63X38 Hu0F0n WFyF, Fl0TWFfuTt, UT 388X6",2/9/23
HOSP1-000027,HClindL,NYEHLn,E,002-0Z-hh1X,"123
",Female,11/29/23,"847 0T0zc0 0TchFT0, P0Tt TWbWccFhFvWn, TW 64ZXX",2/27/23
HOSP1-000028,NicYlC,HLnCYn,C,22h-6Z-6hX2,"123
",Male,1/2/14,"0X4 JuFtJn FJWl0F, WJlWylFn0, UT WW4Z4",8/6/24
HOSP1-000029,EyLn,YYPng,X,0hh-1X-Z0ZZ,"123
",Female,3/8/55,"4ZZ6 C0nwFy ThT0ughwFy, PFttWTF0nT0uth, CF W874X",8/21/22
HOSP1-000030,LLPEL,DCcHCE,D,h2X-ZZ-ZZZ2,"123
",Male,3/11/33,"W3006 HFwQJnF PFTQF Fpt. FC3, F0FTt0wn, TT ZXXW4",8/27/24
HOSP1-000031,JYChPL,SilCYn,P,06h-1Z-ZX1h,"123
",Male,3/9/82,"347 FlWR LFn0 FuJtW X8W, ChFvWzhFvWn, WV 80847",6/16/22
HOSP1-000032,HichLCl,GLEciL,V,ZXX-26-XZ2h,"123
",Female,5/24/06,"X44 ThW000TW C0vW, GFlvFnvJWw, TP 06WZ0",12/4/20
HOSP1-000033,ELchCl,HLEtinCL,L,ZXZ-Zh-ZZ1Z,"123
",Male,7/22/77,"4W6XW ThWTWFF TF0JFl Fpt. W63, CJn0yt0n, FT 0Z0XX",3/29/20
HOSP1-000034,JLCYn,GCYEgC,I,6h0-12-1Z00,"123
",Female,5/22/16,"068 FTJtz P0Tt FuJtW 84X, T0bWTF0nFJ0W, T0 X3Z80",5/23/23
HOSP1-000035,LndECL,NClCYn,C,Z12-hX-ZZh6,"123
",Male,6/18/59,"8X3 CFTWT0n T0F0 FuJtW 0Z4, LFQW 0FcFT, FQ 47Z70",12/18/23
HOSP1-000036,JCCCC,DLviC,F,6Zh-ZZ-hX6Z,"123
",Female,5/27/68,"7W7 TJllWT TFll FuJtW XX8, NWw TJFty, 0T W7ZX7",9/22/24
